,TESTER,RENAME,1,2,3
1,ABC1900005,unknown,,,
2,ABV214-305ALF(Serial)ABV1500080,ABV214-305ALF,,,
3,ADN-Final,unknown,,,
4,BIP221-192LF,BIP908-221192LF,,,
5,BIP221-398LF,BIP908-221398LF,,,
6,BIP221-399LF,BIP908-221399LF,,,
7,ChipID,unknown,,,
8,DownloadStation,unknown,,,
9,EKIP_E_TMAX,unknown,,,
10,EKIP_MLRIU_TMAX,unknown,,,
11,EKIPEASSEMBLY,unknown,,,
12,EKIPEASSEMBLYEND CALIB,unknown,,,
13,EKIPEMAINBOARDXT,unknown,,,
14,EKIPEMAINBOARDXTEND CALIB,unknown,,,
15,EKIPEVOLTAGEBOARD,unknown,,,
16,EKIPEVOLTAGEBOARDEND CALIB,unknown,,,
17,EKIPLSI,unknown,,,
18,EKIPLSICR,unknown,,,
19,EKIPLSIG,unknown,,,
20,EKIPMLRIUTMAX,unknown,,,
21,HRB219-762A01LF,HRB908-219762A01LF,,,
22,HRB219-762A01LF_Goden_Board,HRB908-219762A01LF,,,
23,HRB908-219762A01LF,HRB908-219762A01LF,,,
24,HRB908-219762A01LF_Goden_Board,HRB908-219762A01LF,,,
25,LDL_PROG1,unknown,,,
26,LNK216-119LF,LNK908-216119LF,,,
27,LNK218-1767LF,LNK908-2181767LF,,,
28,LNK218-1771LF,LNK908-2181771LF,,,
29,LNK218-1772LF,LNK908-2181772LF,,,
30,LNK219-1209LF,LNK908-2191209LF,,,
31,LNK908-220395LF_BoxBuild,LNK908-220395LF,,,
32,LNK908-220395LF_PCBA,LNK908-220395LF,,,
33,LNK908-220535LF_Box build,LNK908-220395LF,,,
34,LSIGDMM,unknown,,,
35,MAINBOARD EMAX2 DC,unknown,,,
36,MAINBOARD EMAX2 DCEND CALIB,unknown,,,
37,MAINBOARD EMAX2 M4,unknown,,,
38,MAINBOARD EMAX2 M4END CALIB,unknown,,,
39,MAINBOARD XT7 BASIC,unknown,,,
40,MAINBOARD XT7 BASICEND CALIB,unknown,,,
41,PR121P,unknown,,,
42,PR122123P,unknown,,,
43,PR221DS,unknown,,,
44,PR221DS_NEW,unknown,,,
45,PR221DSNEW,unknown,,,
46,PR222DS,unknown,,,
47,PR222DS_P_PD_NEW,unknown,,,
48,PR222DSPPDNEW,unknown,,,
49,PR231P,unknown,,,
50,PR232P,unknown,,,
51,PR331P,unknown,,,
52,PR332P,unknown,,,
53,RTK218-1886LF,RTK908-2181886LF,,,
54,VOT2200001,VOT01E-221504LF,,,
55,WDX908-215403CLF(FCT3),WDX908-215403CLF,,,
56,XT5EKIPDIPLSI,unknown,,,
57,XT5EKIPDIPLSIG,unknown,,,
58,XT6EKIPDIPLSILSIG,unknown,,,
